* T-Spice 13.00 Simulation	Fri Sep 06 19:03:46 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 8                 MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 2       
*   Independent nodes - 35                   Boundary nodes - 4       
*         Total nodes - 39      


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-009   3e-006
TRANSIENT ANALYSIS
Time<s>           v(WL)<V>     v(BL)<V>     v(QB)<V>      v(Q)<V>
 3.426249e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9946e-003
 3.432499e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9953e-003
 3.464506e-007  0.0000e+000  4.0000e-001  3.8821e-001  9.9954e-003
 3.480510e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9951e-003
 3.520510e-007  0.0000e+000  4.0000e-001  3.8821e-001  9.9954e-003
 3.560510e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9951e-003
 3.600510e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9954e-003
 3.640510e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9952e-003
 3.680510e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9954e-003
 3.720510e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9952e-003
 3.760510e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9954e-003
 3.800000e-007  0.0000e+000  4.0000e-001  3.8820e-001  9.9952e-003
 3.805000e-007  2.0000e-001  4.0000e-001  3.8875e-001  1.1046e-002
 3.810000e-007  4.0000e-001  4.0000e-001  3.6351e-001  3.6264e-002
 3.812500e-007  4.0000e-001  4.0000e-001  3.4855e-001  4.4761e-002
 3.837500e-007  4.0000e-001  4.0000e-001  4.6463e-002  3.2387e-001
 3.850000e-007  4.0000e-001  4.0000e-001  9.5046e-003  3.8507e-001
 3.856250e-007  4.0000e-001  4.0000e-001  8.5264e-003  3.8773e-001
 3.896250e-007  4.0000e-001  4.0000e-001  7.6117e-003  3.8915e-001
 3.936250e-007  4.0000e-001  4.0000e-001  8.2702e-003  3.8839e-001
 3.976250e-007  4.0000e-001  4.0000e-001  7.7585e-003  3.8877e-001
 3.999999e-007  4.0000e-001  4.0000e-001  8.1562e-003  3.8865e-001
 4.004999e-007  2.0000e-001  2.0000e-001  4.5883e-003  3.8701e-001
 4.010000e-007  2.1205e-014  0.0000e+000  7.2874e-003  3.8740e-001
 4.014999e-007  0.0000e+000  0.0000e+000  9.0297e-003  3.8818e-001
 4.017500e-007  0.0000e+000  0.0000e+000  9.4685e-003  3.8831e-001
 4.042499e-007  0.0000e+000  0.0000e+000  1.0288e-002  3.8825e-001
 4.082499e-007  0.0000e+000  0.0000e+000  9.7817e-003  3.8814e-001
 4.122499e-007  0.0000e+000  0.0000e+000  1.0155e-002  3.8828e-001
 4.162499e-007  0.0000e+000  0.0000e+000  9.8731e-003  3.8814e-001
 4.200000e-007  0.0000e+000  0.0000e+000  1.0088e-002  3.8826e-001
 4.205000e-007  2.0000e-001  0.0000e+000  1.1070e-002  3.8871e-001
 4.210000e-007  4.0000e-001  0.0000e+000  4.0556e-002  3.2400e-001
 4.212500e-007  4.0000e-001  0.0000e+000  5.5387e-002  2.7358e-001
 4.234812e-007  4.0000e-001  0.0000e+000  3.3304e-001  2.3569e-002
 4.245968e-007  4.0000e-001  0.0000e+000  3.8777e-001  3.1668e-003
 4.251547e-007  4.0000e-001  0.0000e+000  3.8919e-001  5.9731e-003
 4.291547e-007  4.0000e-001  0.0000e+000  3.8813e-001  4.7051e-003
 4.331547e-007  4.0000e-001  0.0000e+000  3.8900e-001  5.8331e-003
 4.371547e-007  4.0000e-001  0.0000e+000  3.8827e-001  4.8340e-003
 4.400000e-007  4.0000e-001  7.9409e-015  3.8887e-001  5.6894e-003
 4.405000e-007  2.0000e-001  2.0000e-001  3.8776e-001  5.0983e-003
 4.407500e-007  1.0000e-001  3.0000e-001  3.8795e-001  6.8320e-003
 4.410000e-007  2.6479e-014  4.0000e-001  3.8787e-001  8.0583e-003
 4.414751e-007  0.0000e+000  4.0000e-001  3.8830e-001  9.2594e-003
 4.417127e-007  0.0000e+000  4.0000e-001  3.8835e-001  9.5741e-003
 4.439726e-007  0.0000e+000  4.0000e-001  3.8822e-001  1.0205e-002
 4.451025e-007  0.0000e+000  4.0000e-001  3.8815e-001  9.9337e-003
 4.491025e-007  0.0000e+000  4.0000e-001  3.8825e-001  1.0045e-002
 4.511025e-007  0.0000e+000  4.0000e-001  3.8818e-001  9.9628e-003
 4.551025e-007  0.0000e+000  4.0000e-001  3.8823e-001  1.0022e-002
 4.591025e-007  0.0000e+000  4.0000e-001  3.8819e-001  9.9741e-003
 4.600000e-007  0.0000e+000  4.0000e-001  3.8821e-001  1.0003e-002
 4.605000e-007  2.0000e-001  4.0000e-001  3.8874e-001  1.1047e-002
 4.610000e-007  4.0000e-001  4.0000e-001  3.6341e-001  3.6277e-002
 4.612500e-007  4.0000e-001  4.0000e-001  3.4845e-001  4.4788e-002
 4.637500e-007  4.0000e-001  4.0000e-001  4.6436e-002  3.2391e-001
 4.650000e-007  4.0000e-001  4.0000e-001  9.5009e-003  3.8508e-001
 4.656250e-007  4.0000e-001  4.0000e-001  8.5255e-003  3.8773e-001
 4.696250e-007  4.0000e-001  4.0000e-001  7.6121e-003  3.8915e-001
 4.736250e-007  4.0000e-001  4.0000e-001  8.2699e-003  3.8839e-001
 4.776250e-007  4.0000e-001  4.0000e-001  7.7587e-003  3.8877e-001
 4.800000e-007  4.0000e-001  4.0000e-001  8.1561e-003  3.8865e-001
 4.805000e-007  2.0000e-001  2.0000e-001  4.5883e-003  3.8701e-001
 4.809999e-007  3.1752e-014  1.0603e-014  7.2874e-003  3.8740e-001
 4.814999e-007  0.0000e+000  0.0000e+000  9.0297e-003  3.8818e-001
 4.817500e-007  0.0000e+000  0.0000e+000  9.4684e-003  3.8831e-001
 4.842500e-007  0.0000e+000  0.0000e+000  1.0288e-002  3.8825e-001
 4.882500e-007  0.0000e+000  0.0000e+000  9.7817e-003  3.8814e-001
 4.922500e-007  0.0000e+000  0.0000e+000  1.0155e-002  3.8828e-001
